time,v_1,v_2,i_1
0.24950,5.00000,4.96510,0.00349
0.25000,5.00000,4.96544,0.00346
0.25050,5.00000,4.96579,0.00342
0.25100,5.00000,4.96612,0.00339
0.25150,5.00000,4.96646,0.00335
0.25200,5.00000,4.96679,0.00332
0.25250,5.00000,4.96712,0.00329
0.25300,5.00000,4.96744,0.00326
0.25350,5.00000,4.96777,0.00322
0.25400,5.00000,4.96809,0.00319
0.25450,5.00000,4.96840,0.00316
0.25500,5.00000,4.96871,0.00313
0.25550,5.00000,4.96902,0.00310
0.25600,5.00000,4.96933,0.00307
0.25650,5.00000,4.96963,0.00304
0.25700,5.00000,4.96993,0.00301
0.25750,5.00000,4.97023,0.00298
0.25800,5.00000,4.97053,0.00295
0.25850,5.00000,4.97082,0.00292
0.25900,5.00000,4.97111,0.00289
0.25950,5.00000,4.97139,0.00286
0.26000,5.00000,4.97167,0.00283
0.26050,5.00000,4.97196,0.00280
0.26100,5.00000,4.97223,0.00278
0.26150,5.00000,4.97251,0.00275
0.26200,5.00000,4.97278,0.00272
0.26250,5.00000,4.97305,0.00270
0.26300,5.00000,4.97332,0.00267
0.26350,5.00000,4.97358,0.00264
0.26400,5.00000,4.97384,0.00262
0.26450,5.00000,4.97410,0.00259
0.26500,5.00000,4.97436,0.00256
0.26550,5.00000,4.97461,0.00254
0.26600,5.00000,4.97486,0.00251
0.26650,5.00000,4.97511,0.00249
0.26700,5.00000,4.97536,0.00246
0.26750,5.00000,4.97560,0.00244
0.26800,5.00000,4.97584,0.00242
0.26850,5.00000,4.97608,0.00239
0.26900,5.00000,4.97632,0.00237
0.26950,5.00000,4.97655,0.00234
0.27000,5.00000,4.97678,0.00232
0.27050,5.00000,4.97701,0.00230
0.27100,5.00000,4.97724,0.00228
0.27150,5.00000,4.97747,0.00225
0.27200,5.00000,4.97769,0.00223
0.27250,5.00000,4.97791,0.00221
0.27300,5.00000,4.97813,0.00219
0.27350,5.00000,4.97834,0.00217
0.27400,5.00000,4.97856,0.00214
0.27450,5.00000,4.97877,0.00212
0.27500,5.00000,4.97898,0.00210
0.27550,5.00000,4.97919,0.00208
0.27600,5.00000,4.97939,0.00206
0.27650,5.00000,4.97960,0.00204
0.27700,5.00000,4.97980,0.00202
0.27750,5.00000,4.98000,0.00200
0.27800,5.00000,4.98020,0.00198
0.27850,5.00000,4.98039,0.00196
0.27900,5.00000,4.98059,0.00194
0.27950,5.00000,4.98078,0.00192
0.28000,5.00000,4.98097,0.00190
0.28050,5.00000,4.98116,0.00188
0.28100,5.00000,4.98134,0.00187
