time,v_1,v_2,i_1,res,pres,pcap,ptot
0.00249,52.00000,0.13036,1.67321,51.86964,86.78902,0.21812,87.00714
0.00250,52.00000,0.13088,1.67320,51.86912,86.78727,0.21899,87.00626
0.00251,52.00000,0.13140,1.67318,51.86860,86.78552,0.21986,87.00539
0.00252,52.00000,0.13193,1.67316,51.86807,86.78377,0.22074,87.00451
0.00253,52.00000,0.13245,1.67315,51.86755,86.78202,0.22161,87.00363
0.00254,52.00000,0.13297,1.67313,51.86703,86.78027,0.22248,87.00276
0.00255,52.00000,0.13350,1.67311,51.86650,86.77853,0.22335,87.00188
0.00256,52.00000,0.13402,1.67310,51.86598,86.77678,0.22423,87.00100
0.00257,52.00000,0.13454,1.67308,51.86546,86.77503,0.22510,87.00013
0.00258,52.00000,0.13506,1.67306,51.86494,86.77328,0.22597,86.99925
0.00259,52.00000,0.13559,1.67305,51.86441,86.77152,0.22684,86.99837
0.00260,52.00000,0.13611,1.67303,51.86389,86.76977,0.22772,86.99749
0.00261,52.00000,0.13663,1.67301,51.86337,86.76802,0.22859,86.99661
0.00262,52.00000,0.13716,1.67299,51.86284,86.76627,0.22946,86.99574
0.00263,52.00000,0.13768,1.67298,51.86232,86.76452,0.23033,86.99486
0.00264,52.00000,0.13820,1.67296,51.86180,86.76277,0.23121,86.99398
0.00265,52.00000,0.13872,1.67294,51.86127,86.76103,0.23208,86.99311
0.00266,52.00000,0.13925,1.67293,51.86075,86.75928,0.23295,86.99223
0.00267,52.00000,0.13977,1.67291,51.86023,86.75753,0.23382,86.99135
0.00268,52.00000,0.14029,1.67289,51.85971,86.75578,0.23470,86.99048
0.00269,52.00000,0.14082,1.67288,51.85918,86.75403,0.23557,86.98960
0.00270,52.00000,0.14134,1.67286,51.85866,86.75228,0.23644,86.98872
0.00271,52.00000,0.14186,1.67284,51.85814,86.75053,0.23731,86.98785
0.00272,52.00000,0.14238,1.67283,51.85762,86.74879,0.23818,86.98697
0.00273,52.00000,0.14291,1.67281,51.85709,86.74704,0.23906,86.98609
0.00274,52.00000,0.14343,1.67279,51.85657,86.74529,0.23993,86.98522
0.00275,52.00000,0.14395,1.67278,51.85605,86.74354,0.24080,86.98434
0.00276,52.00000,0.14447,1.67276,51.85553,86.74179,0.24167,86.98346
0.00277,52.00000,0.14500,1.67274,51.85500,86.74004,0.24254,86.98259
0.00278,52.00000,0.14552,1.67273,51.85448,86.73830,0.24342,86.98171
0.00279,52.00000,0.14604,1.67271,51.85396,86.73655,0.24429,86.98083
0.00280,52.00000,0.14657,1.67269,51.85344,86.73480,0.24516,86.97996
0.00281,52.00000,0.14709,1.67267,51.85291,86.73305,0.24603,86.97908
0.00282,52.00000,0.14761,1.67266,51.85239,86.73130,0.24690,86.97820
0.00283,52.00000,0.14813,1.67264,51.85187,86.72955,0.24778,86.97733
0.00284,52.00000,0.14866,1.67262,51.85135,86.72781,0.24865,86.97645
0.00285,52.00000,0.14918,1.67261,51.85082,86.72606,0.24952,86.97557
